Invoice;Quantity;Product;PurchasePrice (Unit);TotalAmount
FFCC141685;837;P4231;0.0899248889273453;75.27
FFCC141685;5269;P4234;0.1277313443279061;673.02
FFCC141685;4563;P4235;0.219769577330258;1002.81
FFCC141685;2400;P4240;0.08184;196.42
FFCC141685;3225;P4255;0.1298454844852319;418.75
FFCC141685;7815;P4293;0.3696656889082615;2888.94
FFCC141685;1200;P4319;0.094596;113.52
FFCC141685;4364;P4322;0.3255092853608504;1420.52
FFCC141685;2864;P4341;0.235789303905629;675.3
FFCC141685;16709;P4353;0.4923296244113274;8226.34
FFCC141685;1200;P4354;0.1584;190.08
FFCC141685;2302;P4359;0.1417878216401102;326.4
FFCC141685;600;P4360;0.1518;91.08
FFCC141685;9000;P4383;0.132;1188.0
FFCC141685;4357;P4438;0.1633935395158788;711.91
FFCC141685;7200;P5050;0.05412;389.66
FFCC141685;3296;P5052;0.1208418647687655;398.29
FFCC141685;7796;P5070;0.2939136233424995;2291.35
FFCC141685;1800;P5072;0.099798;179.64
FFCC141685;3910;P5097;0.1232966270581461;482.09
FFCC141685;3591;P5101;0.3491005542200623;1253.62
FFCC141685;11917;P5111;0.0787213938692285;938.12
FFCC141685;3470;P5117;0.1569941100353178;544.77
FFCC141685;3221;P5119;0.1750248173687294;563.75
FFCC141685;35077;P5162;0.1816702755757212;6372.45
FFCC141685;6498;P5169;0.3186914794736367;2070.86
FFCC141685;18046;P7003;0.0902308207092943;1628.31
FFCC141685;3000;P5179;0.15;450.0
FFCC141685;8202;P5180;0.2929160535915566;2402.5
FFCC141685;14810;P5270;0.3054614340374234;4523.88
FFCC141685;2795;P5187;0.2662350527744925;744.13
FFCC141685;3509;MP028223;0.0350878640664387;123.12
FFCC141685;3847;DEP02498;0.0384738844179544;148.01
FFCC141685;6108;P4249;0.4890027166728019;2986.83
FFCC141685;9213;P9903E;0.7216571232759728;6648.63
FFCC141685;922;P5284;0.2705584576082768;249.45
FFCC141685;110538;P5081;0.0087048700965201;962.22
FFCC141685;3000;P5102;0.0939419999999999;281.83
FFCC141685;780;P4172;0.086904;67.79
FFCC141685;12779;P4263;0.2290404657558487;2926.91
FFCC141685;4453;P4216;0.0915985456851173;407.89
FFCC141685;1863;P4074;0.0443910239717938;82.7
FFCC141685;6240;P4267;0.08256;515.17
FFCC141685;2381;P4270;0.10319709506328;245.71
FFCC141685;1200;P5104;0.102978;123.57
FFCC141685;8341;P4038;0.0860198763057433;717.49
FFCC141685;10304;P5131;0.1854807934050631;1911.19
FFCC141685;5313;P4237;0.1372820549265899;729.38
FFCC141685;2570;P4152;0.0466395635419479;119.86
FFCC141685;413446;P7001;0.0087897540814987;3634.09
FFCC141685;12000;P7001;0.0087897540814987;105.48
FFCC141685;600;P4248;0.1379399999999999;82.76
FFCC141685;1660;P4265;0.0771612855614559;128.09
FFCC141685;600;P4464;0.247086;148.25
FFCC141685;3518;P5080;0.3289365010537657;1157.2
FFCC141685;26547;P4048;0.2090849186896132;5550.58
FFCC141685;4305;P4305;0.0464951703139168;200.16
FFCC141685;1500;P5251;0.1247399999999999;187.11
FFCC141685;1200;P5181;0.17292;207.5
FFCC141685;17769;P4176;0.1591034213112052;2827.11
FFCC141685;12000;P5241;0.033;396.0
FFCC141685;17724;P4214;0.1876859894812555;3326.55
FFCC141685;8103;P4279;0.1570864584303438;1272.87
FFCC141685;195404;P5220;0.0967250849940835;18900.47
FFCC141685;600;P5026;0.063384;38.03
FFCC141685;4206;MP02878;0.0788618221626099;331.69
FFCC141685;3316;P4185;0.1188534431164578;394.12
FFCC141685;2400;P5145;0.0792;190.08
FFCC141685;1800;P5103;0.068316;122.97
FFCC141685;12632;P5083;0.0638974278878578;807.15
FFCC141685;3000;P5138;0.10692;320.76
FFCC141685;1305;P5069;0.056484854111844;73.71
FFCC141685;13468;P5069;0.056484854111844;760.74
FFCC141685;15981;P4169;0.0864312753613173;1381.26
FFCC141685;15356;P4371;0.1894235674655713;2908.79
FFCC141685;56318;P4222;0.0514874137046337;2899.67
FFCC141685;47770;P5092;0.0324200469907175;1548.71
